Class Label,Accuracy,Precision,Recall,F1-score,MCC
5S_rRNA,0.989,0.976,0.99,0.983,0.99
5_8S_rRNA,0.967,0.988,0.966,0.977,0.972
tRNA,0.971,0.968,0.972,0.97,0.967
ribozyme,0.831,0.857,0.83,0.843,0.837
CD-box,0.873,0.897,0.87,0.882,0.858
miRNA,0.784,0.77,0.792,0.778,0.709
Intron_gpI,0.918,0.863,0.924,0.889,0.906
Intron_gpII,0.992,0.993,0.994,0.994,0.998
scaRNA,0.793,0.858,0.792,0.821,0.815
HACA-box,0.804,0.76,0.806,0.779,0.734
riboswitch,0.873,0.857,0.876,0.866,0.846
IRES,0.677,0.824,0.676,0.739,0.731
leader,0.951,0.918,0.956,0.935,0.911
